UPC/EAN (GTIN),Master Box #,Style Name,Size,Quantity,FNSKU,Amazon Labels,Referencia,Box,Style #,UPC,EAN,DONE
453904,Box 4 - ARIZONA BFBC GRAY TAUPE 43,ARIZONA BFBC GRAY TAUPE,43,8,X005BBGBY3,FBA19QHGWM04U000345,453904,4,1032019,192763097684,4067707903580,False
453904,Box 5 - ARIZONA EVA BLACK 40,ARIZONA EVA BLACK,40,12,X004IXFGSR,FBA19QHGWM04U000497,453904,5,129423,886454424650,4052001424657,False
453904,Box 6 - ARIZONA BF BLACK 39,ARIZONA BF BLACK,39,12,X0052EHV6B,FBA19QHGWM04U000086,453904,6,51791,736399020274,4013871020271,False
453904,Box 7 - ARIZONA EVA BLACK 40,ARIZONA EVA BLACK,40,12,X004IXFGSR,FBA19QHGWM04U000498,453904,7,129423,886454424650,4052001424657,False
453904,Box 8 - ARIZONA BF BLACK 39,ARIZONA BF BLACK,39,12,X0052EHV6B,FBA19QHGWM04U000087,453904,8,51791,736399020274,4013871020271,False
453904,Box 9 - BOSTON EVA EGGSHELL 37,BOSTON EVA EGGSHELL,37,12,X004IX0GV9,FBA19QHGWM04U000072,453904,9,1027382,192761925262,4066648349501,False
453904,Box 10 - ARIZONA BF BLACK 42,ARIZONA BF BLACK,42,12,X0049PUDY1,FBA19QHGWM04U000358,453904,10,51791,736399023275,4013871023272,False
453904,Box 11 - BOSTON EVA BLACK 39,BOSTON EVA BLACK,39,12,X004IX7WLL,FBA19QHGWM04U000553,453904,11,127103,886454652480,4052001652487,False
453904,Box 12 - ARIZONA EVA BLACK 43,ARIZONA EVA BLACK,43,8,X004IXFTDJ,FBA19QHGWM04U000531,453904,12,129421,886454426500,4052001426507,False
453904,Box 13 - ARIZONA EVA BLACK 43,ARIZONA EVA BLACK,43,8,X004IXFTDJ,FBA19QHGWM04U000532,453904,13,129421,886454426500,4052001426507,False
453904,Box 14 - SET ASIDE (NO VA A AMAZON) - ARIZONA SB EVA SURF GREEN 40,ARIZONA SB EVA SURF GREEN,40,12,,SET ASIDE,453904,14,1029744,192762526116,4067707144662,False
453904,Box 15 - ARIZONA BF BLACK 39,ARIZONA BF BLACK,39,12,X0052EHV6B,FBA19QHGWM04U000088,453904,15,51791,736399020274,4013871020271,False
453904,Box 16 - SET ASIDE (NO VA A AMAZON) - ARIZONA BFBC GRAY TAUPE 38,ARIZONA BFBC GRAY TAUPE,38,12,,SET ASIDE,453904,16,1032019,192763097530,4067707903382,False
453904,Box 17 - ARIZONA BF BLACK 39,ARIZONA BF BLACK,39,12,X0052EHV6B,FBA19QHGWM04U000089,453904,17,51791,736399020274,4013871020271,False
453904,Box 18 - ARIZONA BF BLACK 39,ARIZONA BF BLACK,39,12,X0052EHV6B,FBA19QHGWM04U000090,453904,18,51791,736399020274,4013871020271,False
453904,Box 19 - ARIZONA BF BLACK 42,ARIZONA BF BLACK,42,12,X0049PUDY1,FBA19QHGWM04U000359,453904,19,51791,736399023275,4013871023272,False
453904,Box 20 - ARIZONA EVA BLACK 43,ARIZONA EVA BLACK,43,8,X004IXFTDJ,FBA19QHGWM04U000533,453904,20,129421,886454426500,4052001426507,False
453904,Box 21 - ARIZONA EVA BLACK 41,ARIZONA EVA BLACK,41,12,X004IX6ZFP,FBA19QHGWM04U000516,453904,21,129421,886454426487,4052001426484,False
453904,Box 22 - ARIZONA EVA BLACK 41,ARIZONA EVA BLACK,41,12,X004IX6ZFP,FBA19QHGWM04U000517,453904,22,129421,886454426487,4052001426484,False
453904,Box 23 - ARIZONA BFBC MOCCA 39,ARIZONA BFBC MOCCA,39,12,X004WEBIS9,FBA19QHGWM04U000243,453904,23,151181,809410059185,4040714059181,False
453904,Box 24 - ARIZONA BF BLACK 39,ARIZONA BF BLACK,39,12,X0052EHV6B,FBA19QHGWM04U000091,453904,24,51791,736399020274,4013871020271,False
453905,Box 1 - SET ASIDE (NO VA A AMAZON) - ARIZONA SB EVA SURF GREEN 37,ARIZONA SB EVA SURF GREEN,37,12,,SET ASIDE,453905,1,1029744,192762526024,4067707144549,False
453905,Box 2 - ARIZONA BFBC GRAY TAUPE 42,ARIZONA BFBC GRAY TAUPE,42,8,X005BBB5NZ,FBA19QHGWM04U000339,453905,2,1032019,192763097653,4067707903542,False
453905,Box 3 - BOSTON NU OILED HABANA 42,BOSTON NU OILED HABANA,42,8,X005BB6D87,FBA19QHGWM04U000474,453905,3,860131,809410438188,4040714438184,False
453905,Box 4 - ARIZONA BF BLACK 39,ARIZONA BF BLACK,39,12,X0052EHV6B,FBA19QHGWM04U000092,453905,4,51791,736399020274,4013871020271,False
453905,Box 5 - SET ASIDE (NO VA A AMAZON) - ARIZONA SB EVA SURF GREEN 40,ARIZONA SB EVA SURF GREEN,40,12,,SET ASIDE,453905,5,1029744,192762526116,4067707144662,False
453905,Box 6 - ARIZONA BFBC MOCCA 39,ARIZONA BFBC MOCCA,39,12,X004WEBIS9,FBA19QHGWM04U000244,453905,6,151181,809410059185,4040714059181,False
453905,Box 7 - ARIZONA EVA BLACK 44,ARIZONA EVA BLACK,44,8,X004IWYKL7,FBA19QHGWM04U000542,453905,7,129421,886454426517,4052001426514,False
453905,Box 8 - ARIZONA BF BLACK 41,ARIZONA BF BLACK,41,12,X0052EKNM5,FBA19QHGWM04U000116,453905,8,51791,736399021240,4013871021247,False
453905,Box 9 - ARIZONA BF BLACK 40,ARIZONA BF BLACK,40,12,X0054OCU8D,FBA19QHGWM04U000182,453905,9,51791,736399059694,4013871059691,False
453905,Box 10 - ARIZONA BF BLACK 40,ARIZONA BF BLACK,40,12,X0054OCU8D,FBA19QHGWM04U000183,453905,10,51791,736399059694,4013871059691,False
453905,Box 11 - ARIZONA BF BLACK 41,ARIZONA BF BLACK,41,12,X0052EKNM5,FBA19QHGWM04U000117,453905,11,51791,736399021240,4013871021247,False
453905,Box 12 - ARIZONA BF BLACK 44,ARIZONA BF BLACK,44,12,X0049PN01T,FBA19QHGWM04U000005,453905,12,51791,736399035445,4013871035442,False
453905,Box 13 - ARIZONA BF BLACK 44,ARIZONA BF BLACK,44,12,X0049PN01T,FBA19QHGWM04U000006,453905,13,51791,736399035445,4013871035442,False
453905,Box 14 - ARIZONA BF BLACK 44,ARIZONA BF BLACK,44,12,X0049PN01T,FBA19QHGWM04U000007,453905,14,51791,736399035445,4013871035442,False
453905,Box 15 - ARIZONA BF BLACK 44,ARIZONA BF BLACK,44,12,X0049PN01T,FBA19QHGWM04U000008,453905,15,51791,736399035445,4013871035442,False
453905,Box 16 - ARIZONA BF BLACK 41,ARIZONA BF BLACK,41,12,X0052EKNM5,FBA19QHGWM04U000118,453905,16,51791,736399021240,4013871021247,False
453905,Box 17 - ARIZONA BF BLACK 44,ARIZONA BF BLACK,44,12,X0049PN01T,FBA19QHGWM04U000009,453905,17,51791,736399035445,4013871035442,False
453905,Box 18 - ARIZONA BF BLACK 44,ARIZONA BF BLACK,44,12,X0049PN01T,FBA19QHGWM04U000010,453905,18,51791,736399035445,4013871035442,False
453905,Box 19 - ARIZONA BF BLACK 40,ARIZONA BF BLACK,40,12,X0054OCU8D,FBA19QHGWM04U000184,453905,19,51791,736399059694,4013871059691,False
453905,Box 20 - ARIZONA BF BLACK 41,ARIZONA BF BLACK,41,12,X0052EKNM5,FBA19QHGWM04U000119,453905,20,51791,736399021240,4013871021247,False
453905,Box 21 - ARIZONA BF BLACK 41,ARIZONA BF BLACK,41,12,X0052EKNM5,FBA19QHGWM04U000120,453905,21,51791,736399021240,4013871021247,False
453905,Box 22 - ARIZONA BF BLACK 40,ARIZONA BF BLACK,40,12,X0054OCU8D,FBA19QHGWM04U000185,453905,22,51791,736399059694,4013871059691,False
453905,Box 23 - ARIZONA BF BLACK 44,ARIZONA BF BLACK,44,12,X0049PN01T,FBA19QHGWM04U000011,453905,23,51791,736399035445,4013871035442,False
453905,Box 24 - ARIZONA BF BLACK 40,ARIZONA BF BLACK,40,12,X0054OCU8D,FBA19QHGWM04U000186,453905,24,51791,736399059694,4013871059691,False
453906,Box 1 - ARIZONA BF BLACK 44,ARIZONA BF BLACK,44,12,X0049PN01T,FBA19QHGWM04U000012,453906,1,51791,736399035445,4013871035442,False
453906,Box 2 - ARIZONA BF BLACK 41,ARIZONA BF BLACK,41,12,X0052EKNM5,FBA19QHGWM04U000121,453906,2,51791,736399021240,4013871021247,False
453906,Box 3 - ARIZONA BF BLACK 44,ARIZONA BF BLACK,44,12,X0049PN01T,FBA19QHGWM04U000013,453906,3,51791,736399035445,4013871035442,False
453906,Box 4 - ARIZONA BF BLACK 40,ARIZONA BF BLACK,40,12,X0054OCU8D,FBA19QHGWM04U000187,453906,4,51791,736399059694,4013871059691,False
453906,Box 5 - ARIZONA BF BLACK 40,ARIZONA BF BLACK,40,12,X0054OCU8D,FBA19QHGWM04U000188,453906,5,51791,736399059694,4013871059691,False
453906,Box 6 - ARIZONA EVA BLACK 44,ARIZONA EVA BLACK,44,8,X004IWYKL7,FBA19QHGWM04U000543,453906,6,129421,886454426517,4052001426514,False
453906,Box 7 - ARIZONA BF BLACK 39,ARIZONA BF BLACK,39,12,X0052EHV6B,FBA19QHGWM04U000093,453906,7,51791,736399020274,4013871020271,False
453906,Box 8 - ARIZONA EVA BLACK 44,ARIZONA EVA BLACK,44,8,X004IWYKL7,FBA19QHGWM04U000544,453906,8,129421,886454426517,4052001426514,False
453906,Box 9 - ARIZONA BF BLACK 40,ARIZONA BF BLACK,40,12,X0054OCU8D,FBA19QHGWM04U000189,453906,9,51791,736399059694,4013871059691,False
453906,Box 10 - ARIZONA BF BLACK 42,ARIZONA BF BLACK,42,12,X0049PUDY1,FBA19QHGWM04U000360,453906,10,51791,736399023275,4013871023272,False
453906,Box 11 - ARIZONA BFBC MOCCA 39,ARIZONA BFBC MOCCA,39,12,X004WEBIS9,FBA19QHGWM04U000245,453906,11,151181,809410059185,4040714059181,False
453906,Box 12 - ARIZONA BF BLACK 39,ARIZONA BF BLACK,39,12,X0052EHV6B,FBA19QHGWM04U000094,453906,12,51791,736399020274,4013871020271,False
453906,Box 13 - ARIZONA BFBC MOCCA 41,ARIZONA BFBC MOCCA,41,12,X0052HPEVR,FBA19QHGWM04U000268,453906,13,151181,809410059208,4040714059204,False
453906,Box 14 - ARIZONA BF BLACK 41,ARIZONA BF BLACK,41,12,X0052EKNM5,FBA19QHGWM04U000122,453906,14,51791,736399021240,4013871021247,False
453906,Box 15 - ARIZONA BFBC MOCCA 41,ARIZONA BFBC MOCCA,41,12,X0052HPEVR,FBA19QHGWM04U000269,453906,15,151181,809410059208,4040714059204,False
453906,Box 16 - ARIZONA BF BLACK 44,ARIZONA BF BLACK,44,12,X0049PN01T,FBA19QHGWM04U000014,453906,16,51791,736399035445,4013871035442,False
453906,Box 17 - SET ASIDE (NO VA A AMAZON) - ARIZONA BFBC GRAY TAUPE 40,ARIZONA BFBC GRAY TAUPE,40,12,,SET ASIDE,453906,17,1032019,192763097592,4067707903467,False
453906,Box 18 - BOSTON EVA BLACK 41,BOSTON EVA BLACK,41,4,X004IX4G3N,FBA19QHGWM04U000560,453906,18,127103,886454652503,4052001652500,False
453906,Box 19 - BOSTON EVA BLACK 43,BOSTON EVA BLACK,43,4,X004IWQOGL,FBA19QHGWM04U000572,453906,19,1002314,886925336772,4052605465865,False
453906,Box 20 - BOSTON EVA BLACK 43,BOSTON EVA BLACK,43,4,X004IWQOGL,FBA19QHGWM04U000573,453906,20,1002314,886925336772,4052605465865,False
453906,Box 21 - BOSTON EVA BLACK 44,BOSTON EVA BLACK,44,4,X004IXLYCJ,FBA19QHGWM04U000306,453906,21,1002314,886925336789,4052605465889,False
453906,Box 22 - BOSTON EVA BLACK 43,BOSTON EVA BLACK,43,4,X004IWQOGL,FBA19QHGWM04U000574,453906,22,1002314,886925336772,4052605465865,False
453906,Box 23 - BOSTON EVA EGGSHELL 41,BOSTON EVA EGGSHELL,41,4,X004IXJJUX,FBA19QHGWM04U000322,453906,23,1027382,192761925385,4066648349662,False
453906,Box 24 - BOSTON EVA BLACK 41,BOSTON EVA BLACK,41,4,X004IX4G3N,FBA19QHGWM04U000561,453906,24,127103,886454652503,4052001652500,False
453907,Box 1 - ARIZONA BFBC MOCCA 41,ARIZONA BFBC MOCCA,41,12,X0052HPEVR,FBA19QHGWM04U000270,453907,1,151181,809410059208,4040714059204,False
453907,Box 2 - ARIZONA BF BLACK 41,ARIZONA BF BLACK,41,12,X0052EKNM5,FBA19QHGWM04U000123,453907,2,51791,736399021240,4013871021247,False
453907,Box 3 - ARIZONA BFBC MOCCA 41,ARIZONA BFBC MOCCA,41,12,X0052HPEVR,FBA19QHGWM04U000271,453907,3,151181,809410059208,4040714059204,False
453907,Box 4 - ARIZONA BF BLACK 41,ARIZONA BF BLACK,41,12,X0052EKNM5,FBA19QHGWM04U000124,453907,4,51791,736399021240,4013871021247,False
453907,Box 5 - ARIZONA BF BLACK 41,ARIZONA BF BLACK,41,12,X0052EKNM5,FBA19QHGWM04U000125,453907,5,51791,736399021240,4013871021247,False
453907,Box 6 - ARIZONA BF BLACK 41,ARIZONA BF BLACK,41,12,X0052EKNM5,FBA19QHGWM04U000126,453907,6,51791,736399021240,4013871021247,False
453907,Box 7 - ARIZONA BFBC MOCCA 41,ARIZONA BFBC MOCCA,41,12,X0052HPEVR,FBA19QHGWM04U000272,453907,7,151181,809410059208,4040714059204,False
453907,Box 8 - ARIZONA BF BLACK 44,ARIZONA BF BLACK,44,12,X0049PN01T,FBA19QHGWM04U000015,453907,8,51791,736399035445,4013871035442,False
453907,Box 9 - ARIZONA BFBC MOCCA 41,ARIZONA BFBC MOCCA,41,12,X0052HPEVR,FBA19QHGWM04U000273,453907,9,151181,809410059208,4040714059204,False
453907,Box 10 - ARIZONA BF BLACK 41,ARIZONA BF BLACK,41,12,X0052EKNM5,FBA19QHGWM04U000127,453907,10,51791,736399021240,4013871021247,False
