PACKING LIST,630 UNIDADES,,,,,,,,,,,,,,,
Style,Size,Description,Pallet Salida,BOX O,EAN-CODE,UPC,QTY,MEDIDAS CAJAS EN PULGADAS,,,PESO (LBS),Shipment # 1,Set Aside,FNSKU,AMAZON Labels,OTHER SKU
129421,41,ARIZONA EVA BLACK,453904,21,4052001426484,886454426487,12,18,18,13,18,12,,X004IX6ZFP,FBA19QHGWM04U000516,
129421,41,ARIZONA EVA BLACK,453904,22,4052001426484,886454426487,12,18,18,13,18,12,,X004IX6ZFP,FBA19QHGWM04U000517,
151181,39,ARIZONA BFBC MOCCA,453904,23,4040714059181,809410059185,12,18,18,13,18,12,,X004WEBIS9,FBA19QHGWM04U000243,
51791,39,ARIZONA BF BLACK,453904,24,4013871020271,736399020274,12,18,18,13,18,12,,X0052EHV6B,FBA19QHGWM04U000091,
1029744,37,ARIZONA SB EVA SURF GREEN,453905,1,4067707144549,192762526024,12,18,18,13,18,,12,,,
1032019,42,ARIZONA BFBC GRAY TAUPE,453905,2,4067707903542,192763097653,8,18,18,13,12,8,,X005BBB5NZ,FBA19QHGWM04U000339,
860131,42,BOSTON NU OILED HABANA,453905,3,4040714438184,809410438188,8,18,18,13,12,8,,X005BB6D87,FBA19QHGWM04U000474,
51791,39,ARIZONA BF BLACK,453905,4,4013871020271,736399020274,12,18,18,13,18,12,,X0052EHV6B,FBA19QHGWM04U000092,
1029744,40,ARIZONA SB EVA SURF GREEN,453905,5,4067707144662,192762526116,12,18,18,13,18,,12,,,
151181,39,ARIZONA BFBC MOCCA,453905,6,4040714059181,809410059185,12,18,18,13,18,12,,X004WEBIS9,FBA19QHGWM04U000244,
129421,44,ARIZONA EVA BLACK,453905,7,4052001426514,886454426517,8,18,18,13,12,8,,X004IWYKL7,FBA19QHGWM04U000542,
51791,41,ARIZONA BF BLACK,453905,8,4013871021247,736399021240,12,18,18,13,18,12,,X0052EKNM5,FBA19QHGWM04U000116,
51791,40,ARIZONA BF BLACK,453905,9,4013871059691,736399059694,12,18,18,13,18,12,,X0054OCU8D,FBA19QHGWM04U000182,
51791,40,ARIZONA BF BLACK,453905,10,4013871059691,736399059694,12,18,18,13,18,12,,X0054OCU8D,FBA19QHGWM04U000183,
51791,41,ARIZONA BF BLACK,453905,11,4013871021247,736399021240,12,18,18,13,18,12,,X0052EKNM5,FBA19QHGWM04U000117,
51791,44,ARIZONA BF BLACK,453905,12,4013871035442,736399035445,12,18,18,13,18,12,,X0049PN01T,FBA19QHGWM04U000005,
51791,44,ARIZONA BF BLACK,453905,13,4013871035442,736399035445,12,18,18,13,18,12,,X0049PN01T,FBA19QHGWM04U000006,
51791,44,ARIZONA BF BLACK,453905,14,4013871035442,736399035445,12,18,18,13,18,12,,X0049PN01T,FBA19QHGWM04U000007,
51791,44,ARIZONA BF BLACK,453905,15,4013871035442,736399035445,12,18,18,13,18,12,,X0049PN01T,FBA19QHGWM04U000008,
51791,41,ARIZONA BF BLACK,453905,16,4013871021247,736399021240,12,18,18,13,18,12,,X0052EKNM5,FBA19QHGWM04U000118,
51791,44,ARIZONA BF BLACK,453905,17,4013871035442,736399035445,12,18,18,13,18,12,,X0049PN01T,FBA19QHGWM04U000009,
51791,44,ARIZONA BF BLACK,453905,18,4013871035442,736399035445,12,18,18,13,18,12,,X0049PN01T,FBA19QHGWM04U000010,
51791,40,ARIZONA BF BLACK,453905,19,4013871059691,736399059694,12,18,18,13,18,12,,X0054OCU8D,FBA19QHGWM04U000184,
51791,41,ARIZONA BF BLACK,453905,20,4013871021247,736399021240,12,18,18,13,18,12,,X0052EKNM5,FBA19QHGWM04U000119,
51791,41,ARIZONA BF BLACK,453905,21,4013871021247,736399021240,12,18,18,13,18,12,,X0052EKNM5,FBA19QHGWM04U000120,
51791,40,ARIZONA BF BLACK,453905,22,4013871059691,736399059694,12,18,18,13,18,12,,X0054OCU8D,FBA19QHGWM04U000185,
51791,44,ARIZONA BF BLACK,453905,23,4013871035442,736399035445,12,18,18,13,18,12,,X0049PN01T,FBA19QHGWM04U000011,
51791,40,ARIZONA BF BLACK,453905,24,4013871059691,736399059694,12,18,18,13,18,12,,X0054OCU8D,FBA19QHGWM04U000186,
51791,44,ARIZONA BF BLACK,453906,1,4013871035442,736399035445,12,18,18,13,18,12,,X0049PN01T,FBA19QHGWM04U000012,
51791,41,ARIZONA BF BLACK,453906,2,4013871021247,736399021240,12,18,18,13,18,12,,X0052EKNM5,FBA19QHGWM04U000121,
